level,variant,fold,feature,gain_share
pitcher_season,pitcher_recent,4,asof_pitcher_prev5_game_success_rate,0.12374298236377079
pitcher_season,pitcher_recent,4,asof_pitcher_prev1_game_middle_rate,0.08901404365606001
pitcher_season,pitcher_recent,4,asof_pitcher_prev3_game_middle_rate,0.38777002137897076
pitcher_season,pitcher_recent,4,asof_pitcher_prev5_game_middle_rate,0.14314354394180231
pitcher_season,pitcher_recent,5,asof_pitcher_prev1_game_success_rate,0.14989238313345152
pitcher_season,pitcher_recent,5,asof_pitcher_prev3_game_success_rate,0.10105202659347351
pitcher_season,pitcher_recent,5,asof_pitcher_prev5_game_success_rate,0.14747086499650136
pitcher_season,pitcher_recent,5,asof_pitcher_prev1_game_middle_rate,0.2045867189699203
pitcher_season,pitcher_recent,5,asof_pitcher_prev3_game_middle_rate,0.23034232493563328
pitcher_season,pitcher_recent,5,asof_pitcher_prev5_game_middle_rate,0.16665568137102002
pitcher_season,pitcher_recent,6,asof_pitcher_prev1_game_success_rate,0.11848016689122771
pitcher_season,pitcher_recent,6,asof_pitcher_prev3_game_success_rate,0.16956099686108494
pitcher_season,pitcher_recent,6,asof_pitcher_prev5_game_success_rate,0.10932507058083325
pitcher_season,pitcher_recent,6,asof_pitcher_prev1_game_middle_rate,0.33774883702550257
pitcher_season,pitcher_recent,6,asof_pitcher_prev3_game_middle_rate,0.09730479538637862
pitcher_season,pitcher_recent,6,asof_pitcher_prev5_game_middle_rate,0.1675801332549729
pitcher_season,pitcher_recent,7,asof_pitcher_prev1_game_success_rate,0.10622526735896676
pitcher_season,pitcher_recent,7,asof_pitcher_prev3_game_success_rate,0.10714123300831745
pitcher_season,pitcher_recent,7,asof_pitcher_prev5_game_success_rate,0.14810898540082812
pitcher_season,pitcher_recent,7,asof_pitcher_prev1_game_middle_rate,0.11590716872716103
pitcher_season,pitcher_recent,7,asof_pitcher_prev3_game_middle_rate,0.37563076201070844
pitcher_season,pitcher_recent,7,asof_pitcher_prev5_game_middle_rate,0.14698658349401825
pitcher_season,pitchmix,0,asof_pitcher_fastball_rate,0.3135263693825351
pitcher_season,pitchmix,0,asof_pitcher_breaking_rate,0.3341538406730258
pitcher_season,pitchmix,0,asof_pitcher_offspeed_rate,0.35231978994443913
pitcher_season,pitchmix,1,asof_pitcher_fastball_rate,0.3732451577866512
pitcher_season,pitchmix,1,asof_pitcher_breaking_rate,0.3256489310153356
pitcher_season,pitchmix,1,asof_pitcher_offspeed_rate,0.3011059111980132
pitcher_season,pitchmix,2,asof_pitcher_fastball_rate,0.28448116535176093
pitcher_season,pitchmix,2,asof_pitcher_breaking_rate,0.3816741333492801
pitcher_season,pitchmix,2,asof_pitcher_offspeed_rate,0.33384470129895893
pitcher_season,pitchmix,3,asof_pitcher_fastball_rate,0.282153953322026
pitcher_season,pitchmix,3,asof_pitcher_breaking_rate,0.4039082894109232
pitcher_season,pitchmix,3,asof_pitcher_offspeed_rate,0.3139377572670508
pitcher_season,pitchmix,4,asof_pitcher_fastball_rate,0.34651293150888557
pitcher_season,pitchmix,4,asof_pitcher_breaking_rate,0.34968110128857033
pitcher_season,pitchmix,4,asof_pitcher_offspeed_rate,0.3038059672025441
pitcher_season,pitchmix,5,asof_pitcher_fastball_rate,0.3605104274228489
pitcher_season,pitchmix,5,asof_pitcher_breaking_rate,0.2933751372537655
pitcher_season,pitchmix,5,asof_pitcher_offspeed_rate,0.3461144353233856
pitcher_season,pitchmix,6,asof_pitcher_fastball_rate,0.33435072277529576
pitcher_season,pitchmix,6,asof_pitcher_breaking_rate,0.3039537171675672
pitcher_season,pitchmix,6,asof_pitcher_offspeed_rate,0.36169556005713704
pitcher_season,pitchmix,7,asof_pitcher_fastball_rate,0.31190983449667564
pitcher_season,pitchmix,7,asof_pitcher_breaking_rate,0.2745987668786732
pitcher_season,pitchmix,7,asof_pitcher_offspeed_rate,0.4134913986246512
batter_season,batter_direct,0,asof_batter_success_rate,0.45881078721874063
batter_season,batter_direct,0,asof_batter_middle_rate,0.5411892127812593
batter_season,batter_direct,1,asof_batter_success_rate,0.48194783009123693
batter_season,batter_direct,1,asof_batter_middle_rate,0.5180521699087631
batter_season,batter_direct,2,asof_batter_success_rate,0.516901331915534
batter_season,batter_direct,2,asof_batter_middle_rate,0.48309866808446594
batter_season,batter_direct,3,asof_batter_success_rate,0.5046122863867953
batter_season,batter_direct,3,asof_batter_middle_rate,0.4953877136132047
batter_season,batter_direct,4,asof_batter_success_rate,0.42359533822252166
batter_season,batter_direct,4,asof_batter_middle_rate,0.5764046617774783
batter_season,batter_direct,5,asof_batter_success_rate,0.35291797674562414
batter_season,batter_direct,5,asof_batter_middle_rate,0.6470820232543759
batter_season,batter_direct,6,asof_batter_success_rate,0.43533002596230164
batter_season,batter_direct,6,asof_batter_middle_rate,0.5646699740376984
batter_season,batter_direct,7,asof_batter_success_rate,0.4205097276192279
batter_season,batter_direct,7,asof_batter_middle_rate,0.5794902723807721
